Actual Class,Predicted Class,Confusion Matrix Count,F1 (Actual Class),Recall (Actual Class),Precision (Actual Class)
Dessert,Dessert,52,0.859504132231405,0.8813559322033898,0.8387096774193549
Dessert,Fried food,2,0.859504132231405,0.8813559322033898,0.8387096774193549
Dessert,Seafood,4,0.859504132231405,0.8813559322033898,0.8387096774193549
Dessert,Vegetable-Fruit,1,0.859504132231405,0.8813559322033898,0.8387096774193549
Fried food,Dessert,7,0.875,0.863013698630137,0.8873239436619719
Fried food,Fried food,63,0.875,0.863013698630137,0.8873239436619719
Fried food,Seafood,2,0.875,0.863013698630137,0.8873239436619719
Fried food,Vegetable-Fruit,1,0.875,0.863013698630137,0.8873239436619719
Seafood,Dessert,2,0.8620689655172413,0.847457627118644,0.8771929824561403
Seafood,Fried food,5,0.8620689655172413,0.847457627118644,0.8771929824561403
Seafood,Seafood,50,0.8620689655172413,0.847457627118644,0.8771929824561403
Seafood,Vegetable-Fruit,2,0.8620689655172413,0.847457627118644,0.8771929824561403
Vegetable-Fruit,Dessert,1,0.94017094017094,0.9482758620689655,0.9322033898305084
Vegetable-Fruit,Fried food,1,0.94017094017094,0.9482758620689655,0.9322033898305084
Vegetable-Fruit,Seafood,1,0.94017094017094,0.9482758620689655,0.9322033898305084
Vegetable-Fruit,Vegetable-Fruit,55,0.94017094017094,0.9482758620689655,0.9322033898305084
